;participant;condition;reversed;size;colour;phase;dimension1mean;dimension2mean;dimension1sd;dimension1sd.1;duration
212;R105;1;1;5;0;1;0.413976351;0;1.089.866;0;205
213;R105;1;1;1;1;2;0.936666524;0;142.349;0;961
214;R105;1;1;1;3;2;1.061.974.165;0;1.725.689;0;1139
215;R105;1;1;1;5;2;1.058.511.663;0;1.444.895;0;915
216;R105;1;1;3;1;2;1.117.839.275;0;1.586.652;0;1402
217;R105;1;1;3;3;2;1.075.655.629;0;1.599.602;0;849
218;R105;1;1;3;5;2;1.313.355.193;0;1.655.765;0;760
219;R105;1;1;5;1;2;116.823.492;0;1.631.438;0;552
220;R105;1;1;5;3;2;0.705754631;0;1.352.975;0;419
221;R105;1;1;5;5;2;1.283.766.817;0;1.731.935;0;172
222;R105;1;1;1;1;3;-1.003.578.197;-3.233.134;1.075.696;6.592.879;136
223;R105;1;1;1;3;3;-0.841811693;-8.975.118;1.128.442;5.637.267;125
224;R105;1;1;1;5;3;-0.972606485;6.356.095;0.7378533;2.242.698;60
225;R105;1;1;3;1;3;0.735373179;-1.655.084;1.305.972;179.957;1069
226;R105;1;1;3;3;3;0.258603824;-2.573.954;1.253.022;2.886.741;592
227;R105;1;1;3;5;3;0.804600345;-3.433.077;1.267.357;3.276.515;760
228;R105;1;1;5;1;3;0.13025817;-1.354.326;1.193.804;205.917;451
229;R105;1;1;5;3;3;117.221.555;-7.524.859;1.349.277;4.912.112;479
230;R105;1;1;5;5;3;1.179.948.958;-6.059.007;1.370.235;4.328.745;186
231;N101;1;0;1;0;1;-0.589278385;0;4.867.312;0;26
232;N101;1;0;2;0;1;0.07348163;0;385.164;0;366
233;N101;1;0;3;0;1;-0.492502791;0;3.956.813;0;63
234;N101;1;0;4;0;1;-0.210788481;0;5.081.503;0;223
235;N101;1;0;5;0;1;-0.208276667;0;0.9979527;0;510
236;N101;1;0;1;1;2;0.304774419;0;504.669;0;56
237;N101;1;0;1;3;2;0.242233758;0;5.687.463;0;96
238;N101;1;0;1;5;2;0.36544826;0;1.918.204;0;673
239;N101;1;0;3;1;2;-0.262355228;0;6.290.712;0;129
240;N101;1;0;3;3;2;-0.083558815;0;125.947;0;117
241;N101;1;0;3;5;2;-0.151040718;0;1.175.033;0;1158
242;N101;1;0;5;1;2;-0.76795709;0;0.2750707;0;8
243;N101;1;0;5;3;2;-0.524530395;0;2.242.888;0;469
244;N101;1;0;5;5;2;-0.862016375;0;5.006.734;0;804
245;N101;1;0;1;1;3;0.684141163;1.073.204;5.478.254;2.539.499;18
246;N101;1;0;1;3;3;0.287184051;635.774;2.850.177;5.603.435;293
247;N101;1;0;1;5;3;0.673652986;8.119.854;2.395.113;4.763.276;784
248;N101;1;0;3;1;3;-0.607681168;6.990.404;3.238.847;2.268.567;65
249;N101;1;0;3;3;3;-0.542503601;503.915;1.591.062;5.514.294;543
250;N101;1;0;3;5;3;-0.664635969;9.410.143;4.150.634;1.291.621;741
251;N101;1;0;5;1;3;-0.7447044;4.930.417;1.214.124;1.936.026;45
252;N101;1;0;5;3;3;-1.019.299.126;7.349.825;3.629.665;4.770.398;372
253;N101;1;0;5;5;3;-0.897705881;6.987.448;4.250.482;1.188.592;419
254;N102;1;0;1;0;1;0.396043452;0;4.753.011;0;67
255;N102;1;0;2;0;1;-0.210753327;0;2.239.546;0;38
256;N102;1;0;3;0;1;-0.017156797;0;2.215.145;0;56
257;N102;1;0;4;0;1;-0.580369032;0;1.308.948;0;62
258;N102;1;0;5;0;1;-0.837397757;0;7.410.031;0;119
259;N102;1;0;1;1;2;0.608806371;0;1.651.252;0;41
260;N102;1;0;1;3;2;0.370035696;0;4.713.326;0;104
261;N102;1;0;1;5;2;0.471558372;0;1.655.584;0;385
262;N102;1;0;3;1;2;-0.238593169;0;4.953.126;0;38
263;N102;1;0;3;3;2;-0.24854258;0;2.288.902;0;98
264;N102;1;0;3;5;2;-0.142346585;0;1.286.178;0;334
265;N102;1;0;5;1;2;-1.819.845.003;0;6.515.237;0;61
266;N102;1;0;5;3;2;-0.835436515;0;1.542.927;0;156
267;N102;1;0;5;5;2;-1.223.105.533;0;3.304.775;0;717
268;N102;1;0;1;1;3;0.313912529;5.114.369;1.584.237;0.777425;14
269;N102;1;0;1;3;3;0.418956052;9.247.773;6.946.158;20.885;101
270;N102;1;0;1;5;3;1.230.573.239;9.893.044;8.765.218;4.347.716;723
271;N102;1;0;3;1;3;-0.206933594;6.704.138;2.317.585;4.324.507;37
272;N102;1;0;3;3;3;-0.148263029;8.436.647;6.163.377;7.416.135;117
273;N102;1;0;3;5;3;-0.236075295;6.885.068;5.186.039;4.894.537;686
274;N102;1;0;5;1;3;-1.519.033.299;1.118.551;185.269;6.530.444;74
275;N102;1;0;5;3;3;-0.86228851;821.181;1.471.417;4.412.353;151
276;N102;1;0;5;5;3;-0.93523868;7.234.084;1.478.454;7.258.258;1109
277;N103;1;0;1;0;1;0.628655534;0;350.935;0;596
278;N103;1;0;2;0;1;0.119319329;0;1.822.042;0;505
279;N103;1;0;3;0;1;-0.393519342;0;4.324.481;0;445
280;N103;1;0;4;0;1;-0.419755331;0;2.043.024;0;483
281;N103;1;0;5;0;1;-0.873881823;0;3.346.731;0;640
282;N103;1;0;1;1;2;0.785566266;0;4.353.405;0;557
283;N103;1;0;1;3;2;-0.324538637;0;1.580.392;0;626
284;N103;1;0;1;5;2;-1.368.839.085;0;3.928.407;0;540
285;N103;1;0;3;1;2;0.515290306;0;4.161.767;0;725
286;N103;1;0;3;3;2;-0.436385506;0;2.500.685;0;586
287;N103;1;0;3;5;2;-1.263.673.726;0;4.267.974;0;663
288;N103;1;0;5;1;2;0.779029037;0;5.548.147;0;433
289;N103;1;0;5;3;2;-0.331645207;0;0.2941463;0;278
290;N103;1;0;5;5;2;-1.250.875.393;0;5.390.164;0;439
291;N103;1;0;1;1;3;0.791178383;1.169.167;4.342.029;112.266;577
292;N103;1;0;1;3;3;-0.345137584;9.436.723;1.656.997;3.874.373;315
293;N103;1;0;1;5;3;-1.207.215.511;106.624;3.567.743;7.907.495;456
294;N103;1;0;3;1;3;1.079.187.973;122.383;4.741.703;1.294.492;785
295;N103;1;0;3;3;3;-0.248674226;1.161.167;3.151.992;1.106.894;384
296;N103;1;0;3;5;3;-0.999444396;1.043.575;4.430.752;1.354.818;462
297;N103;1;0;5;1;3;0.87063963;1.221.331;6.936.105;1.755.401;299
298;N103;1;0;5;3;3;-0.301434849;9.660.748;1.317.044;1.049.392;223
299;N103;1;0;5;5;3;-1.350.882.999;105.923;4.857.114;148.454;386
300;N104;1;0;1;0;1;1.101.284.378;0;2.549.658;0;63
301;N104;1;0;2;0;1;1.346.464.355;0;1.560.971;0;61
302;N104;1;0;3;0;1;0.78186151;0;1.823.071;0;107
303;N104;1;0;4;0;1;-0.253195587;0;1.422.644;0;170
304;N104;1;0;5;0;1;0.884096192;0;1.126.753;0;144
305;N104;1;0;1;1;2;31.908.136;0;2.126.749;0;22
306;N104;1;0;1;3;2;3.126.934.846;0;2.179.978;0;289
307;N104;1;0;1;5;2;3.736.251.768;0;1.131.671;0;41
308;N104;1;0;3;1;2;-1.622.971.897;0;153.135;0;61
309;N104;1;0;3;3;2;0.54164687;0;5.382.298;0;421
310;N104;1;0;3;5;2;0.907081158;0;8.914.303;0;99
311;N104;1;0;5;1;2;-1.768.927.064;0;1.169.004;0;369
312;N104;1;0;5;3;2;0.27187758;0;7.027.378;0;389
313;N104;1;0;5;5;2;-1.953.477.943;0;8.420.936;0;80
314;N104;1;0;1;1;3;3.271.848.106;3.991.705;3.711.885;8.518.864;251
315;N104;1;0;1;3;3;367.833.877;4.065.532;608.015;1.072.888;557
316;N104;1;0;1;5;3;4.063.981.847;3.045.102;9.338.859;2.234.194;29
317;N104;1;0;3;1;3;0.893490157;3.569.353;4.610.698;1.201.361;223
318;N104;1;0;3;3;3;0.938833055;3.456.527;3.391.602;6.437.394;271
319;N104;1;0;3;5;3;109.391.961;1.820.268;8.606.977;1.225.894;359
